Date,Opponent,Home/Away,PTS,Win/Loss
2025-02-08,CHI vs. GSW,Home,111,L
2025-02-05,CHI @ MIN,Away,108,L
2025-02-04,CHI vs. MIA,Home,133,W
2025-02-02,CHI @ DET,Away,119,L
2025-01-31,CHI @ TOR,Away,122,W
2025-01-29,CHI @ BOS,Away,100,L
2025-01-27,CHI vs. DEN,Home,129,W
2025-01-25,CHI vs. PHI,Home,97,L
2025-01-23,CHI @ GSW,Away,106,L
2025-01-20,CHI @ LAC,Away,112,W
2025-01-19,CHI @ POR,Away,102,L
2025-01-17,CHI vs. CHA,Home,123,L
2025-01-15,CHI vs. ATL,Home,94,L
2025-01-14,CHI vs. NOP,Home,113,L
2025-01-12,CHI vs. SAC,Home,119,L
2025-01-10,CHI vs. WAS,Home,138,W
2025-01-08,CHI @ IND,Away,113,L
2025-01-06,CHI vs. SAS,Home,114,W
2025-01-04,CHI vs. NYK,Home,139,W
2025-01-01,CHI @ WAS,Away,107,L
2024-12-30,CHI @ CHA,Away,115,W
2024-12-28,CHI vs. MIL,Home,116,W
2024-12-26,CHI @ ATL,Away,133,L
2024-12-23,CHI vs. MIL,Home,91,L
2024-12-21,CHI vs. BOS,Home,98,L
2024-12-19,CHI @ BOS,Away,117,W
2024-12-16,CHI @ TOR,Away,122,W
2024-12-13,CHI vs. CHA,Home,109,W
2024-12-08,CHI vs. PHI,Home,100,L
2024-12-06,CHI vs. IND,Home,123,L
2024-12-05,CHI @ SAS,Away,139,W
2024-12-02,CHI vs. BKN,Home,128,W
2024-11-29,CHI vs. BOS,Home,129,L
2024-11-27,CHI @ ORL,Away,119,L
2024-11-26,CHI @ WAS,Away,127,W
2024-11-23,CHI vs. MEM,Home,131,L
2024-11-22,CHI vs. ATL,Home,136,W
2024-11-20,CHI @ MIL,Away,106,L
2024-11-18,CHI @ DET,Away,122,W
2024-11-17,CHI vs. HOU,Home,107,L
2024-11-15,CHI @ CLE,Away,126,L
2024-11-13,CHI @ NYK,Away,124,W
2024-11-11,CHI vs. CLE,Home,113,L
2024-11-09,CHI @ ATL,Away,125,W
2024-11-07,CHI vs. MIN,Home,119,L
2024-11-06,CHI @ DAL,Away,99,L
2024-11-04,CHI vs. UTA,Home,126,L
2024-11-01,CHI @ BKN,Away,112,L
2024-10-30,CHI vs. ORL,Home,102,W
2024-10-28,CHI @ MEM,Away,126,W
2024-10-26,CHI vs. OKC,Home,95,L
2024-10-25,CHI @ MIL,Away,133,W
2024-10-23,CHI @ NOP,Away,111,L
2024-10-18,CHI vs. CLE,Home,139,W
2024-10-16,CHI vs. MIN,Home,125,W
2024-10-14,CHI @ MIL,Away,107,L
2024-10-12,CHI vs. MEM,Home,121,L
2024-10-08,CHI @ CLE,Away,116,W
